Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Program,School Type,School Method,Number of Enrollments,Number of Founders (Alumni),Number of Alumni,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events
HP,https://www.crunchbase.com/organization/hewlett-packard,"Computer, Consumer Electronics, Hardware, IT Infrastructure, Software","Palo Alto, California, United States","HP is a manufacturer and seller of personal computers, printers, computer hardwares, and business solutions.",11,"San Francisco Bay Area, Silicon Valley, West Coast",,$10B+,Active,1939-01-01,day,1978-11-06,day,,,For Profit,http://www.hp.com,,,26,31,7,,13,13,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Software",3,"Ash Ashutosh, Bill Hewlett, Satoshi Nakamoto",10001+,1,IPO,2022-04-06,4200000000,USD,4200000000,Post-IPO Equity,4200000000,USD,4200000000,Post-IPO Equity,4200000000,USD,4200000000,4200000000,USD,4200000000,Berkshire Hathaway,1,1,107,Made Acquisitions,,,,,,,,,,,,Public,1978-11-06,,,115000000,USD,115000000,662000000,USD,662000000,HPQ,https://www.crunchbase.com/ipo/hewlett-packard-ipo--715f8592,NYSE - New York Stock Exchange,2022-10-20,2022-11-23,160
BT,https://www.crunchbase.com/organization/bt,"Cyber Security, Information Technology, Internet, Network Security, Telecommunications","London, England, United Kingdom",BT provides communications services to consumer and business sectors worldwide.,12,,,$1B to $10B,Active,1969-10-01,day,1986-04-11,day,,,For Profit,https://www.bt.com/,,,10,10,5,,7,7,,,,,,,,,,"Hardware, Information Technology, Internet Services, Privacy and Security",1,William Fothergill Cooke,10001+,3,IPO,2021-06-10,2200000000,GBP,3117529442,Post-IPO Equity,2200000000,GBP,3117529442,Post-IPO Equity,3195446553,USD,3195446553,3195446553,USD,3195446553,"Altice, AYO Technology Solutions, Sekunjalo Group",2,3,10,Made Acquisitions,,,,,,,,,,,,Public,1986-04-11,,,,,,,,,BT,https://www.crunchbase.com/ipo/bt-ipo--d7e40ad3,NYSE - New York Stock Exchange,2021-01-13,2020-09-26,25
HDFC Bank,https://www.crunchbase.com/organization/hdfc-bank,"Banking, Financial Services","Mumbai, Maharashtra, India",HDFC Bank Offers a wide range of personal banking services including savings and current accounts.,13,Asia-Pacific (APAC),,$1B to $10B,Active,1994-01-01,year,1999-10-08,day,,,For Profit,http://www.hdfcbank.com,,,24,27,14,,2,2,,,,,,,,,,"Financial Services, Lending and Investments",2,"Hasmukhbhai Parekh, Sashidhar Jagdishan",10001+,2,IPO,2022-12-23,400000000,USD,400000000,Post-IPO Debt,572000000,INR,6984045,Post-IPO Equity,572000000,INR,6984046,406984046,USD,406984046,"International Finance Corporation, LIC",2,2,2,Made Acquisitions,,,,,,,,,,,,Public,1999-10-08,,,,,,,,,HDFCBANK,https://www.crunchbase.com/ipo/hdfc-bank-ipo--3762d6c3,NSE - National Stock Exchange of India,2022-11-25,2020-05-09,1
Startup Wise Guys,https://www.crunchbase.com/organization/startup-wise-guys,"Augmented Reality, B2B, Cyber Security, FinTech, SaaS, Sustainability, Virtual Reality","Tallinn, Harjumaa, Estonia",Startup Wise Guys is a B2B startup accelerator.,14,European Union (EU),,Less than $1M,Active,2012-01-01,year,,,,,,http://www.startupwiseguys.com,"Accelerator, Venture Capital","Early Stage Venture, Seed",323,428,102,6,7,7,,,22,,,,,1,1,"Financial Services, Hardware, Information Technology, Other, Privacy and Security, Software, Sustainability",5,"Andrea T. Orlando, Cristobal Alonso, Herty Tammo, Jon Bradford, Mike Reiner",51-100,1,,2019-01-01,8800000,EUR,10086121,Undisclosed,8800000,EUR,10086121,Undisclosed,8800000,EUR,10086122,8800000,EUR,10086122,European regional development fund (ERDF),,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,24
Paytient,https://www.crunchbase.com/organization/paytient,"Employee Benefits, FinTech, Health Care, Health Insurance, Payments","Columbia, Missouri, United States","Paytient offers Health Payment Accounts (HPAs), a sponsored benefit that makes it easier to pay for out-of-pocket healthcare expenses.",15,Midwestern US,,,Active,2018-04-01,month,,,,,For Profit,https://www.paytient.com,,,,,,,,,,,,,,,,,,"Administrative Services, Financial Services, Health Care, Payments",1,Brian Whorley,51-100,6,Early Stage Venture,2023-01-10,33000000,USD,33000000,Series B,33000000,USD,33000000,Series B,55400000,USD,55400000,62900000,USD,62900000,"Silicon Valley Bank, Commerce Bank, Lachy Groom, Cultivation Capital, Mercato Partners",5,17,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Nothing,https://www.crunchbase.com/organization/nothing-4537,"Consumer, Consumer Electronics, Consumer Software, Information Technology","London, England, United Kingdom",Nothing is a consumer tech company that develops a digital technology to connect products and services.,16,,,,Active,2020-01-01,year,,,,,For Profit,https://nothing.tech,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Other, Software",2,"Akis Evangelidis, Carl Pei",251-500,6,,2022-04-05,6345579,EUR,6920537,Equity Crowdfunding,6345579,EUR,6920537,Equity Crowdfunding,150197410,USD,150197410,150197410,USD,150197410,"Animoca Brands, EQT Ventures, Crowdcube, GV, Kevin Lin",3,25,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Amgen,https://www.crunchbase.com/organization/amgen,"Biotechnology, Health Care, Manufacturing, Pharmaceutical","Thousand Oaks, California, United States",Amgen is a biotechnology company that develops and manufactures human therapeutics for various illnesses and diseases.,17,"Greater Los Angeles Area, West Coast, Western US",,$10B+,Active,1980-01-01,year,1983-06-24,day,,,For Profit,http://www.amgen.com,,,12,14,7,2,7,7,,,,,,,,,,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1,George Rathmann,10001+,1,IPO,2022-12-12,28500000000,USD,28500000000,Post-IPO Debt,,,,,,,,28500000000,USD,28500000000,,,,26,Made Acquisitions,,,,,,,,,,,,Public,1983-06-24,,,,,,,,,AMGN,https://www.crunchbase.com/ipo/amgen-ipo--a287fe63,NASDAQ,2020-11-02,2021-02-03,10
Chronosphere,https://www.crunchbase.com/organization/chronosphere,"Analytics, Cloud Infrastructure, Information Technology, Productivity Tools, SaaS","New York, New York, United States","Chronosphere develops a scalable, reliable, and customizable monitoring solution built for cloud-native applications.",19,"Greater New York Area, East Coast, Northeastern US",,,Active,2019-01-01,year,,,,,For Profit,http://www.chronosphere.io,,,,,,,,,,,,,,,,,,"Data and Analytics, Hardware, Information Technology, Internet Services, Software",2,"Martin Mao, Rob Skillington",251-500,4,Late Stage Venture,2023-01-09,115000000,USD,115000000,Series C,115000000,USD,115000000,Series C,342474000,USD,342474000,342474000,USD,342474000,"GV, Founders Fund, Lux Capital, General Atlantic, Spark Capital",6,11,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,3
KreditBee,https://www.crunchbase.com/organization/kreditbee,"Financial Services, FinTech, Internet, Lending, Personal Finance","Bangalore, Karnataka, India",KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,19,Asia-Pacific (APAC),,,Active,2018-05-01,day,,,,,For Profit,https://www.kreditbee.in,,,,,,,,,,,,,,,,,,"Financial Services, Internet Services",3,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",501-1000,5,Late Stage Venture,2023-01-06,9799920000,INR,119113786,Series D,9799920000,INR,119113786,Series D,27436920000,INR,352447855,27436920000,INR,352447855,"Advent International, Mirae Asset Venture Investment, MUFG Bank, NewQuest Capital Partners, Arkam Ventures",5,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Physics Wallah,https://www.crunchbase.com/organization/physics-wallah,"E-Learning, EdTech, Education, Tutoring","Noida, Uttar Pradesh, India","Physics Wallah offers live classes, video lectures, test series, and dynamic exercises for JEE, NEET entrance, and board exams.",20,Asia-Pacific (APAC),,$50M to $100M,Active,2014-01-01,year,,,,,For Profit,https://www.pw.live,,,1,1,1,,0,0,,,,,,,,,,"Education, Software",2,"Alakh Pandey, Prateek Maheshwari",1001-5000,1,Early Stage Venture,2022-06-07,100000000,USD,100000000,Series A,100000000,USD,100000000,Series A,100000000,USD,100000000,100000000,USD,100000000,"Westbridge Capital, GSV Ventures",2,2,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2022-05-20,
BioNTech,https://www.crunchbase.com/organization/biontech-ag,"Biopharma, Biotechnology, Pharmaceutical","Mainz, Rheinland-Pfalz, Germany",BioNTech is a biopharmaceutical company pioneering the development of individualized therapies for cancer and other diseases.,21,European Union (EU),,$100M to $500M,Active,2008-01-01,year,2019-10-09,day,,,For Profit,http://www.biontech.de,,,4,4,2,,3,3,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",2,"Christoph Huber, Ugur Sahin",1001-5000,9,IPO,2022-04-14,149999985,USD,149999985,Post-IPO Equity,149999985,USD,149999985,Post-IPO Equity,1141164024,USD,1141164024,1741003260,USD,1741003260,"Sanofi, Temasek Holdings, European Investment Bank, Fidelity Management and Research Company, Janus Henderson Investors",7,16,4,Made Acquisitions,,,,,,,,,,,,Public,2019-10-09,,,150000000,USD,150000000,3393000000,USD,3393000000,BNTX,https://www.crunchbase.com/ipo/biontech-ag-ipo--337201de,NASDAQ,,,
Eurazeo,https://www.crunchbase.com/organization/eurazeo-com,"Asset Management, Finance, Financial Services, FinTech, Venture Capital","Paris, Ile-de-France, France",Eurazeo is a private equity and venture capital firm that invests in SMEs and manages a diversified portfolio of assets.,22,European Union (EU),,$1B to $10B,Active,1969-07-18,day,1999-04-01,day,,,For Profit,https://www.eurazeo.com/en/,Private Equity Firm,,198,235,96,7,52,52,,,,,,,,,,"Financial Services, Lending and Investments",1,Paul Taylor,251-500,1,IPO,2017-06-06,790500000,EUR,890972269,Post-IPO Equity,790500000,EUR,890972269,Post-IPO Equity,790500000,EUR,890972270,790500000,EUR,890972270,JCDecaux,1,1,37,Made Acquisitions,,,,,,,,,,,,Public,1999-04-01,,,,,,,,,RF,https://www.crunchbase.com/ipo/eurazeo-com-ipo--89978918,EPA - Euronext Paris,,,
Hack The Box,https://www.crunchbase.com/organization/hack-the-box,"Cyber Security, Information Technology, Penetration Testing, Skill Assessment, Training","Folkestone, Kent, United Kingdom",Hack The Box provides a training platform and community designed for advancing skills in penetration testing and cybersecurity.,23,,,,Active,2017-06-20,day,,,,,For Profit,https://www.hackthebox.com,,,,,,,,,,,,,,,,,,"Education, Information Technology, Privacy and Security",3,"Aris Zikopoulos, Haris Pylarinos, James Hooker",101-250,4,Early Stage Venture,2023-01-11,55000000,USD,55000000,Series B,55000000,USD,55000000,Series B,69500000,USD,69500000,69500000,USD,69500000,"The Carlyle Group, Paladin Capital Group, OUP (Osage University Partners), Brighteye Ventures, Endeavor Catalyst",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,
Techstars,https://www.crunchbase.com/organization/techstars,"Consulting, Finance, Financial Services, FinTech, Incubators, Oil and Gas, Renewable Energy, Retail, Retail Technology","Boulder, Colorado, United States",Techstars is a global platform that provides investment and innovation.,24,"Greater Denver Area, Western US","Women Founded, Women Led",$100M to $500M,Active,2006-08-01,day,,,,,For Profit,https://www.techstars.com,"Accelerator, Venture Capital","Debt, Early Stage Venture, Seed","3,453","4,212","1,673",926,405,405,On-Site,2019-12-08,13,,,,,,,"Commerce and Shopping, Energy, Financial Services, Hardware, Lending and Investments, Natural Resources, Professional Services, Software, Sustainability",4,"Brad Feld, David Brown, David Cohen, Jared Polis",251-500,7,Seed,2022-01-01,120000,USD,120000,Pre-Seed,120000,USD,120000,Pre-Seed,108919999,USD,108919999,108919999,USD,108919999,"SVB Financial Group, Silicon Valley Bank, Foundry Group, Lightbank, Mercury",1,11,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2022-04-20,,332
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,"Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation","Hawthorne, California, United States",SpaceX is an aviation and aerospace company that focuses on reducing costs associated with space travel.,25,"Greater Los Angeles Area, West Coast, Western US",,$1B to $10B,Active,2002-05-06,day,,,,,For Profit,https://www.spacex.com,,,,,,,,,,,,,,,,,,"Manufacturing, Science and Engineering, Transportation",1,Elon Musk,5001-10000,31,Private Equity,2022-07-15,250000000,USD,250000000,Private Equity,250000000,USD,250000000,Private Equity,8637923846,USD,8637923846,9760343846,USD,9760343846,"Google, Matthew Brown Companies, Fidelity, Bank of America, NASA",9,77,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2022-10-20,10
Gemini,https://www.crunchbase.com/organization/gemini-99b2,"Cryptocurrency, Finance, Financial Services, FinTech","New York, New York, United States",Gemini is a licensed digital asset exchange and custodian built for both individuals and institutions.,26,"Greater New York Area, East Coast, Northeastern US",,$100M to $500M,Active,2014-01-01,year,,,,,For Profit,https://gemini.com,,,8,9,,,,,,,,,,,,,,"Financial Services, Payments, Software",2,"Cameron Winklevoss, Tyler Winklevoss",501-1000,4,,2022-02-17,,,,Venture - Series Unknown,,,,Venture - Series Unknown,423903059,USD,423903059,423903059,USD,423903059,"Pario Ventures, Mogo, Jane Street Capital, Boost VC, Draper Dragon",2,21,6,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2022-07-18,1
Intel,https://www.crunchbase.com/organization/intel,"Artificial Intelligence, Computer, GPU, Hardware, Information Technology, Manufacturing, Product Design, Semiconductor, Software","Santa Clara, California, United States","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",27,"San Francisco Bay Area, Silicon Valley, West Coast",,$10B+,Active,1968-07-18,day,1971-10-13,day,,,For Profit,http://www.intel.com/,,,63,71,17,6,33,33,,,,,,,,,,"Artificial Intelligence, Consumer Electronics, Data and Analytics, Design, Hardware, Information Technology, Manufacturing, Science and Engineering, Software",2,"Gordon Moore, Robert Noyce",10001+,2,IPO,2021-02-22,10000000,USD,10000000,Post-IPO Equity,10000000,USD,10000000,Post-IPO Equity,12510000,USD,12510000,12510000,USD,12510000,"Venrock, Arthur Rock & Co, Max Palevsky",,3,109,Made Acquisitions,,,,,,,,,,,,Public,1971-10-13,,,,,,,,,INTC,https://www.crunchbase.com/ipo/intel-ipo--fa31ceb7,NASDAQ,2022-09-08,2022-12-06,498
Tesla,https://www.crunchbase.com/organization/tesla-motors,"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing, Transportation","Austin, Texas, United States",Tesla Motors specializes in developing a full range of electric vehicles.,28,Southern US,,$500M to $1B,Active,2003-01-01,day,2010-06-29,day,,,For Profit,https://www.tesla.com,,,2,2,1,,,,,,,,,,,,,"Manufacturing, Transportation",4,"Elon Musk, JB Straubel, Marc Tarpenning, Martin Eberhard",10001+,37,IPO,2022-06-30,20000000,USD,20000000,Post-IPO Equity,20000000,USD,20000000,Post-IPO Equity,5023300129,USD,5023300129,20202508761,USD,20202508761,"Google, Tencent, Citi, Goldman Sachs, US Department of Energy",16,43,9,Made Acquisitions,,,,,,,,,,,,Public,2010-06-29,,,226000000,USD,226000000,,,,TSLA,https://www.crunchbase.com/ipo/tesla-motors-ipo--95b9ff99,NASDAQ,2022-12-15,2022-06-29,14
Carvana,https://www.crunchbase.com/organization/carvana,"Automotive, Autonomous Vehicles, E-Commerce","Tempe, Arizona, United States",Carvana is an e-commerce platform for buying and selling used cars.,29,"Greater Phoenix Area, Western US",,$1B to $10B,Active,2013-01-01,year,2017-04-28,day,,,For Profit,http://www.carvana.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Transportation",2,"Ernie Garcia, Ryan Keeton",10001+,6,IPO,2022-02-24,3275000000,USD,3275000000,Post-IPO Debt,600000000,USD,600000000,Post-IPO Equity,760120000,USD,760120000,4835120000,USD,4835120000,"Citi, Ally Financial, JPMorgan Chase & Co.",1,3,3,Made Acquisitions,,,,,,,,,,,,Public,2017-04-28,,,225000000,USD,225000000,2000000000,USD,2000000000,CVNA,https://www.crunchbase.com/ipo/carvana-ipo--4ab27359,NYSE - New York Stock Exchange,,2022-11-18,
